"work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
"2020","Entry-level/Junior","Full-time","Data Analyst",450000.00,"INR",6072.00,"IN",0,"IN","Small Company"
"2020","Senior-level/Expert","Full-time","Data Engineer",720000.00,"MXN",33511.00,"MX",0,"MX","Small Company"
"2021","Senior-level/Expert","Full-time","Principal Data Analyst",170000.00,"USD",170000.00,"US",100,"US","Medium Company"
"2021","Senior-level/Expert","Full-time","Data Engineer",70000.00,"GBP",96833.00,"GB",50,"GB","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",108000.00,"TRY",13105.00,"TR",0,"TR","Medium Company"
"2021","Entry-level/Junior","Full-time","Data Scientist",31000.00,"EUR",36952.00,"FR",50,"FR","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",52500.00,"GBP",72625.00,"GB",50,"GB","Large Company"
"2020","Entry-level/Junior","Full-time","Data Analyst",91000.00,"USD",91000.00,"US",100,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Big Data Architect",125000.00,"CAD",99956.00,"CA",50,"CA","Medium Company"
"2021","Senior-level/Expert","Full-time","Data Scientist",165000.00,"USD",165000.00,"US",100,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Analyst",80000.00,"USD",80000.00,"US",100,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Data Scientist",130000.00,"CAD",103954.00,"CA",100,"CA","Large Company"
"2021","Entry-level/Junior","Full-time","Data Engineer",1600000.00,"INR",21695.00,"IN",50,"IN","Medium Company"
"2020","Entry-level/Junior","Full-time","Research Scientist",42000.00,"USD",42000.00,"NL",50,"NL","Large Company"
"2020","Mid-level/Intermediate","Full-time","Lead Data Scientist",115000.00,"USD",115000.00,"AE",0,"AE","Large Company"
"2021","Mid-level/Intermediate","Full-time","Research Scientist",80000.00,"CAD",63971.00,"CA",100,"CA","Medium Company"
"2020","Senior-level/Expert","Full-time","Machine Learning Scientist",260000.00,"USD",260000.00,"JP",0,"JP","Small Company"
"2021","Mid-level/Intermediate","Full-time","Head of Data Science",110000.00,"USD",110000.00,"US",0,"US","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Architect",180000.00,"USD",180000.00,"US",100,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Data Analyst",200000.00,"USD",200000.00,"US",100,"US","Large Company"
"2020","Senior-level/Expert","Full-time","Big Data Engineer",85000.00,"GBP",109024.00,"GB",50,"GB","Medium Company"
"2021","Senior-level/Expert","Full-time","Director of Data Engineering",200000.00,"USD",200000.00,"US",100,"US","Large Company"
"2021","Senior-level/Expert","Full-time","ML Engineer",256000.00,"USD",256000.00,"US",100,"US","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",110000.00,"USD",110000.00,"US",100,"US","Large Company"
"2020","Mid-level/Intermediate","Full-time","Data Scientist",70000.00,"EUR",79833.00,"DE",0,"DE","Large Company"
"2021","Entry-level/Junior","Full-time","Data Engineer",72500.00,"USD",72500.00,"US",100,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Machine Learning Engineer",185000.00,"USD",185000.00,"US",50,"US","Large Company"
