"work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
"2020","Mid-level/Intermediate","Full-time","Data Scientist",118000.00,"USD",118000.00,"US",100,"US","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Data Scientist",138350.00,"USD",138350.00,"US",100,"US","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Data Engineer",130800.00,"USD",130800.00,"ES",100,"US","Medium Company"
"2020","Senior-level/Expert","Full-time","Machine Learning Engineer",40000.00,"EUR",45618.00,"HR",100,"HR","Small Company"
"2021","Senior-level/Expert","Full-time","Director of Data Science",168000.00,"USD",168000.00,"JP",0,"JP","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",160000.00,"SGD",119353.00,"SG",100,"IL","Medium Company"
"2021","Mid-level/Intermediate","Full-time","Applied Machine Learning Scientist",423000.00,"USD",423000.00,"US",50,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",24000.00,"EUR",28608.00,"MT",50,"MT","Large Company"
"2021","Senior-level/Expert","Full-time","Data Specialist",165000.00,"USD",165000.00,"US",100,"US","Large Company"
"2020","Senior-level/Expert","Full-time","Data Scientist",412000.00,"USD",412000.00,"US",100,"US","Large Company"
